sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.5276;2.2487;9.6808;0.0243;2.2818;9.5409;0.4797;-0.1509;0.2031;0.2115;-0.0655;0.129;332.3212;-24.7;3.75;-27.34;67.78;-13.45;-0.15;2.0;983.91;47.978;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;8;2023-03-30 16:33:49:499
0.1819;2.5196;9.3541;0.0959;2.7584;9.4137;0.188;-0.2074;-0.168;0.0901;-0.1043;-0.2103;332.3212;-25.47;1.46;-27.91;70.45;-16.05;-0.6;0.0;983.89;41.319;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;508;2023-03-30 16:33:49:999
0.1543;2.8959;9.6185;-0.0275;2.8813;9.3773;0.1238;0.0488;-0.0217;0.0342;0.0762;-0.0673;332.3212;-25.4;0.54;-27.18;70.51;-16.93;-0.09;0.0;983.86;38.314;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;1009;2023-03-30 16:33:50:500
-0.3799;2.9533;9.1866;-0.1894;2.9705;9.3475;-0.1317;-0.0332;-0.0201;-0.0136;0.0677;-0.0319;332.3212;-24.44;-0.21;-26.72;71.91;-17.5;0.99;0.0;983.87;37.972;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;1509;2023-03-30 16:33:51:000
-0.192;3.1184;9.2824;-0.2505;3.0885;9.3078;-0.0043;-0.0353;-0.1314;-0.007;0.0504;0.0038;332.3212;-24.7;-0.98;-27.51;73.45;-18.35;1.54;0.0;983.89;40.734;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;2010;2023-03-30 16:33:51:501
-0.3404;3.0532;9.1908;-0.2705;3.0817;9.3095;-0.013;-0.003;0.0337;-0.0099;0.0212;0.0018;332.3212;-24.89;-0.23;-28.05;71.61;-18.34;1.67;0.0;983.89;41.315;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;2509;2023-03-30 16:33:52:000
-0.3075;3.0814;9.2907;-0.2869;3.0712;9.3124;0.0126;-0.0087;0.0133;-0.0092;-0.0341;0.0014;332.3212;-25.27;-0.52;-28.26;73.68;-18.24;1.76;0.0;983.9;40.23;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;3008;2023-03-30 16:33:52:499
-0.4564;3.0299;9.3045;-0.4041;3.0995;9.2987;0.0034;-0.026;-0.1363;-0.002;0.0276;-0.0058;332.3212;-25.28;-0.71;-28.05;73.89;-18.35;2.31;0.0;983.87;38.289;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;3508;2023-03-30 16:33:52:999
-0.853;2.6889;9.4415;-0.9337;2.6455;9.4003;0.0073;0.0438;-0.21;-0.226;0.264;-0.0585;332.3212;-23.59;0.05;-28.5;73.75;-16.91;4.33;0.0;983.92;36.91;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;4008;2023-03-30 16:33:53:499
-0.8638;2.5172;9.3661;-0.9537;2.5375;9.428;0.0415;-0.0677;0.0566;-0.015;0.0525;6.0E-4;332.3212;-23.52;0.39;-30.61;74.77;-14.95;5.73;0.0;983.9;37.779;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;4508;2023-03-30 16:33:53:999
-0.396;2.8618;9.4199;-0.387;2.8009;9.3937;-0.0702;-0.018;-0.0255;0.0907;-0.1518;-0.0199;332.3212;-24.97;-0.9;-28.23;75.55;-16.59;2.36;0.0;983.91;47.851;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;5009;2023-03-30 16:33:54:500
-0.4929;3.1741;9.1131;-0.4683;3.1953;9.2632;-0.0672;-0.0398;-0.021;0.0927;-0.0594;-0.0234;332.3212;-24.05;-1.9;-27.06;76.11;-18.6;3.12;2.0;983.88;43.485;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;5508;2023-03-30 16:33:54:999